                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97434,                 5.1857,                 1.6653,                0.63292,                0.47594,                0.45908,                0.42631,                0.35549,                 2.6349,                0.99751,             0.00021959,             0.00021959,             0.00021959
                      2,                0.26184,                 2.2739,                  1.043,                0.70689,                0.71254,                0.72614,                0.67416,                0.38679,                 2.0084,                 1.0416,             0.00039817,             0.00039817,             0.00039817
                      3,                0.24698,                 1.9052,                 1.0171,                0.79271,                0.67769,                0.72088,                 0.6851,                0.35175,                 1.7586,                 1.0089,             0.00053273,             0.00053273,             0.00053273
                      4,                0.22973,                 1.6647,                0.99364,                  0.653,                0.63849,                0.64125,                0.61845,                0.48276,                 1.8077,                 1.2838,              0.0004689,              0.0004689,              0.0004689
                      5,                0.21951,                 1.4514,                 1.0019,                0.77722,                0.77196,                0.80699,                0.77368,                0.31009,                 1.4821,                0.99276,              0.0004689,              0.0004689,              0.0004689
                      6,                0.21996,                 1.3329,                0.99191,                0.83014,                0.82294,                0.85725,                0.84521,                 0.2587,                 1.2607,                0.86771,             0.00040287,             0.00040287,             0.00040287
                      7,                0.19766,                 1.2189,                0.98409,                 0.7772,                0.82031,                0.85866,                0.83831,                0.26731,                 1.2094,                0.89573,             0.00033683,             0.00033683,             0.00033683
                      8,                0.18785,                 1.0622,                0.98698,                0.86113,                0.83702,                0.84982,                0.81798,                0.30829,                 1.0954,                0.93335,              0.0002708,              0.0002708,              0.0002708
                      9,                0.18676,                 1.0269,                0.97603,                0.85274,                0.79775,                0.84821,                 0.8329,                0.25753,                 1.0418,                0.87553,             0.00020477,             0.00020477,             0.00020477
                     10,                0.17736,                0.89286,                0.95873,                0.87646,                0.82655,                0.85665,                0.83446,                0.27967,                 1.0299,                0.90977,             0.00013874,             0.00013874,             0.00013874
