                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7567,                 3.9569,                 1.1576,                0.46169,                0.14767,                0.20405,                0.11587,                 1.7507,                 3.4005,                 1.0757,             0.00017311,             0.00017311,             0.00017311
                      2,                 1.7714,                 2.2167,                 1.1387,                0.55777,                0.47511,                0.43146,                0.22666,                 1.7404,                 1.7469,                 1.0964,             0.00031395,             0.00031395,             0.00031395
                      3,                 1.6576,                 1.5486,                 1.1104,                   0.66,                 0.5552,                 0.5286,                0.26478,                 1.7305,                 1.3786,                 1.0965,             0.00042007,             0.00042007,             0.00042007
                      4,                 1.6174,                 1.3365,                 1.0954,                0.71444,                0.58092,                0.58579,                0.29967,                 1.7224,                 1.2652,                 1.0882,             0.00036978,             0.00036978,             0.00036978
                      5,                  1.561,                 1.2262,                 1.0815,                0.71399,                0.57216,                0.57167,                0.26878,                 1.9291,                 1.2591,                 1.1511,             0.00036978,             0.00036978,             0.00036978
                      6,                 1.5164,                 1.1662,                  1.066,                0.76389,                0.62509,                0.63729,                0.32826,                 1.6291,                 1.0915,                 1.0711,              0.0003177,              0.0003177,              0.0003177
                      7,                 1.4837,                 1.1033,                  1.056,                0.75728,                0.62719,                0.63821,                0.33265,                 1.6575,                 1.1125,                 1.0745,             0.00026563,             0.00026563,             0.00026563
                      8,                 1.4493,                 1.0552,                 1.0477,                0.80523,                0.62317,                0.66067,                 0.3524,                 1.6208,                 1.0431,                 1.0649,             0.00021356,             0.00021356,             0.00021356
                      9,                  1.429,                 1.0225,                 1.0419,                0.82957,                0.65258,                0.68813,                0.36998,                 1.6068,                0.99642,                 1.0638,             0.00016148,             0.00016148,             0.00016148
                     10,                 1.4148,                0.99676,                 1.0277,                 0.8161,                 0.6349,                0.67235,                0.35867,                 1.6672,                 1.0037,                 1.0893,             0.00010941,             0.00010941,             0.00010941
