                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7819,                 1.9023,                 1.2186,                0.76123,                0.58382,                0.64611,                0.33476,                 1.6245,                 1.6129,                 1.1423,             0.00021344,             0.00021344,             0.00021344
                      2,                 1.7389,                 1.7522,                 1.1884,                0.76529,                0.58128,                0.65842,                0.27151,                 1.9436,                 1.5878,                  1.282,             0.00039063,             0.00039063,             0.00039063
                      3,                 1.7178,                 1.6273,                 1.1958,                 0.7382,                0.61156,                0.65446,                0.34957,                 1.5857,                 1.3138,                 1.1451,             0.00052424,             0.00052424,             0.00052424
                      4,                  1.639,                 1.4784,                 1.1556,                0.77062,                0.64563,                0.68495,                0.36741,                 1.5186,                 1.2117,                 1.1147,              0.0004689,              0.0004689,              0.0004689
                      5,                 1.6229,                 1.3784,                 1.1616,                0.79526,                0.65711,                0.75346,                0.41482,                 1.4932,                 1.1914,                  1.114,              0.0004689,              0.0004689,              0.0004689
                      6,                 1.5998,                 1.3299,                 1.1454,                0.80843,                0.66053,                0.75678,                0.42366,                  1.506,                 1.0886,                 1.1043,             0.00040287,             0.00040287,             0.00040287
                      7,                  1.576,                 1.2616,                 1.1394,                0.76316,                0.73907,                0.76462,                0.41536,                 1.4913,                 1.0943,                 1.1001,             0.00033683,             0.00033683,             0.00033683
                      8,                 1.5534,                 1.2292,                 1.1387,                0.85052,                0.72805,                0.80852,                0.46649,                 1.4652,                 1.0233,                 1.0957,              0.0002708,              0.0002708,              0.0002708
                      9,                 1.5586,                 1.2056,                 1.1316,                0.74941,                0.77499,                0.79825,                0.46193,                 1.4446,                 1.0307,                 1.0775,             0.00020477,             0.00020477,             0.00020477
                     10,                 1.5273,                 1.1639,                  1.125,                0.83476,                0.72705,                0.81324,                0.46118,                  1.439,                 0.9963,                 1.0779,             0.00013874,             0.00013874,             0.00013874
