                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3845,                 2.3451,                 1.3896,                0.37495,                0.30877,                 0.3588,                0.16796,                 1.8766,                  2.124,                 1.1207,              1.334e-05,              1.334e-05,              1.334e-05
                      2,                 2.3788,                   2.28,                  1.317,                 0.3834,                0.30923,                0.38543,                0.19093,                  1.697,                 2.0747,                 1.0545,             3.0048e-05,             3.0048e-05,             3.0048e-05
                      3,                 1.9762,                 2.0055,                 1.2083,                0.38979,                0.33256,                0.38361,                0.19552,                 1.6157,                  2.041,                 1.0248,             4.2795e-05,             4.2795e-05,             4.2795e-05
                      4,                 1.6567,                 2.1016,                 1.0452,                0.46323,                0.32545,                0.35056,                0.16554,                 1.7256,                    2.1,                 1.0426,             5.1579e-05,             5.1579e-05,             5.1579e-05
                      5,                 1.5256,                 1.8924,                 1.0117,                 0.4473,                0.30985,                0.32571,                0.13945,                 1.8946,                 2.1145,                 1.0741,             5.6402e-05,             5.6402e-05,             5.6402e-05
                      6,                 1.5268,                 1.8711,                 1.0167,                0.44855,                 0.3081,                0.33892,                0.13667,                 1.9503,                 2.0873,                 1.0816,             5.7262e-05,             5.7262e-05,             5.7262e-05
                      7,                 1.5463,                 1.8092,                0.99628,                0.45207,                0.31661,                0.35194,                0.14748,                 1.9016,                 2.0185,                 1.0657,              5.416e-05,              5.416e-05,              5.416e-05
                      8,                 1.4444,                 1.6698,                 1.0159,                0.34968,                0.33907,                0.36395,                0.15714,                 1.8526,                 1.9766,                 1.0554,             4.7097e-05,             4.7097e-05,             4.7097e-05
                      9,                 1.4648,                 1.6741,                0.99703,                0.36696,                0.36464,                0.38943,                 0.1742,                 1.7581,                 1.9084,                 1.0364,             3.6071e-05,             3.6071e-05,             3.6071e-05
                     10,                 1.3898,                 1.6208,                0.96451,                0.36701,                0.38279,                0.39313,                0.18049,                 1.7215,                 1.8782,                 1.0295,             2.1084e-05,             2.1084e-05,             2.1084e-05
